ISO,Information Centrality,Innovation Quantity,Information Centrality Color Class,Innovation Quantity Color Class,bivariate_color
ABW,0.009671293,0.40540540540540543,2,1,#6573AB
AFG,0,0.027027027,0,0,#E8E8E8
AGO,0.009885971,0.24324324324324326,2,0,#74ADC9
AIA,0.009538275,1.0810810810810811,1,1,#9F91BB
ALA,0.003400055,0,1,0,#AECBD9
ALB,0.006039899,0.918918919,1,1,#9F91BB
AND,0,2.945945945945946,0,1,#D9AECA
ARE,0.013110259039729937,33.59459459,2,2,#55398E
ARG,0.011474234286345484,32.810810810810814,2,2,#55398E
ARM,0,5,0,1,#D9AECA
ASM,0.002311651,0,0,0,#E8E8E8
ATG,0.009805852,7.621621621621622,2,2,#55398E
AUS,0.012938886521020118,1435.8648648648648,2,2,#55398E
AUT,0,964.9459459459459,0,2,#C974AD
AZE,0,4,0,1,#D9AECA
BDI,0,0.32432432432432434,0,1,#D9AECA
BEL,0.012730862384030102,959.1621621621622,2,2,#55398E
BEN,0.009779347,0.24324324324324326,2,0,#74ADC9
BES,0.004478606,0,1,0,#AECBD9
BFA,0,0.13513513513513514,0,0,#E8E8E8
BGD,0.008673527,1.027027027027027,1,1,#9F91BB
BGR,0.006607169,33.67567567567568,1,2,#8F579D
BHR,0.009344655,1.4054054054054055,1,1,#9F91BB
BHS,0.010534259705211685,13.405405405405405,2,2,#55398E
BIH,0,5.405405405405405,0,1,#D9AECA
BLM,0.005495787,0,1,0,#AECBD9
BLR,0,13.378378378378379,0,2,#C974AD
BLZ,0.010285197978879411,1.5945945945945945,2,1,#6573AB
BMU,0.007762534,33.83783783783784,1,2,#8F579D
BOL,0,0.5675675675675675,0,1,#D9AECA
BRA,0.011991958160884322,331.35135135135135,2,2,#55398E
BRB,0.00981981,61.54054054054054,2,2,#55398E
BRN,0.012748336,0.8918918918918919,2,1,#6573AB
BTN,0,0.027027027,0,0,#E8E8E8
BWA,0,0.40540540540540543,0,1,#D9AECA
CAF,0,0.027027027,0,0,#E8E8E8
CAN,0.006686873,2154.2972972972975,1,2,#8F579D
CCK,0,0,0,0,#E8E8E8
CHE,0,3210.3783783783783,0,2,#C974AD
CHL,0.010715230310356863,60.78378378378378,2,2,#55398E
CHN,0.012914570116586916,13018,2,2,#55398E
CIV,0.009873072,0.7837837837837838,2,1,#6573AB
CMR,0.009885971,1.3783783783783783,2,1,#6573AB
COD,0.005146872,0.1891891891891892,1,0,#AECBD9
COG,0.004524351,0.35135135135135137,1,1,#9F91BB
COK,0.000315951,0.7837837837837838,0,1,#D9AECA
COL,0.011811586246522262,39.810810810810814,2,2,#55398E
COM,0.004832116,0.054054054,1,0,#AECBD9
CPV,0.009601665,0,1,0,#AECBD9
CRI,0.010824315093500087,6.054054054054054,2,1,#6573AB
CUB,0.002449443,7.864864864864865,0,2,#C974AD
CUW,0.011578077,2.4054054054054053,2,1,#6573AB
CXR,0.001058865,0.027027027,0,0,#E8E8E8
CYM,0.008887401,177.3783783783784,1,2,#8F579D
CYP,0.012802415253916994,30.56756756756757,2,2,#55398E
CZE,0,122.54054054054055,0,2,#C974AD
DEU,0.012947000038963529,13116.81081081081,2,2,#55398E
DJI,0.012946329274974935,0,2,0,#74ADC9
DMA,0.009805852,0.24324324324324326,2,0,#74ADC9
DNK,0.009697873,986.8918918918919,2,2,#55398E
DOM,0.011521566712377591,2.6216216216216215,2,1,#6573AB
DZA,0.009143659,4.675675675675675,1,1,#9F91BB
ECU,0.010815460155565887,7,2,1,#6573AB
EGY,0.013150091853486097,26.405405405405407,2,2,#55398E
ERI,0,0.027027027,0,0,#E8E8E8
ESH,0.000339733,0,0,0,#E8E8E8
ESP,0.013007481058596032,960.8378378378378,2,2,#55398E
EST,0.003400055,23.7027027,1,2,#8F579D
ETH,0,0.13513513513513514,0,0,#E8E8E8
FIN,0.005053501,1359.7567567567567,1,2,#8F579D
FJI,0.006296084,0.32432432432432434,1,1,#9F91BB
FRA,0.013219651,5599.27027,2,2,#55398E
FRO,0.006898888,0.972972973,1,1,#9F91BB
FSM,0.002910685,0,1,0,#AECBD9
GAB,0.009779347,0.3783783783783784,2,1,#6573AB
GBR,0.013214044124350736,5193.27027,2,2,#55398E
GEO,0.00380634,6.27027027,1,1,#9F91BB
GGY,0.006060339,0.3783783783783784,1,1,#9F91BB
GHA,0.009940205,1,2,1,#6573AB
GIB,0,3.5945945945945947,0,1,#D9AECA
GIN,0.005048308,0.32432432432432434,1,1,#9F91BB
GLP,0.010131705663558161,0.027027027,2,0,#74ADC9
GMB,0.005048308,0.1891891891891892,1,0,#AECBD9
GNB,0.005048308,0,1,0,#AECBD9
GNQ,0.005048308,0.054054054,1,0,#AECBD9
GRC,0.012841415,75.05405405405405,2,2,#55398E
GRD,0.009805852,0.054054054,2,0,#74ADC9
GRL,0.00232162,0.027027027,0,0,#E8E8E8
GTM,0.011376858956031466,1.2162162162162162,2,1,#6573AB
GUF,0.009505233,0,1,0,#AECBD9
GUM,0.010251877,0.24324324324324326,2,0,#74ADC9
GUY,0.002137434,0.081081081,0,0,#E8E8E8
HND,0.010824315093500089,0.1891891891891892,2,0,#74ADC9
HRV,0.006039899,37.351351351351354,1,2,#8F579D
HTI,0.004190279,0.081081081,1,0,#AECBD9
HUN,0,152.05405405405406,0,2,#C974AD
IDN,0.01275645,11.35135135135135,2,2,#55398E
IMN,0.003103641,0.7837837837837838,1,1,#9F91BB
IND,0.013181728711391692,926.1351351351351,2,2,#55398E
IRL,0.006254404,340.1081081081081,1,2,#8F579D
IRN,0.008827146,27.054054054054053,1,2,#8F579D
IRQ,0.007788549,0.6486486486486487,1,1,#9F91BB
ISL,0.007375305,31.37837837837838,1,2,#8F579D
ISR,0.007370021,1176.5135135135135,1,2,#8F579D
ITA,0.013268579820074225,2161.9189189189187,2,2,#55398E
JAM,0.00675974,0.8648648648648649,1,1,#9F91BB
